actorId,actorName
0000920,Patrick Bergin
0001242,Matt Frewer
0639432,Austin O'Brien
0693531,Ely Pouget
0177914,Camille Cooper
0000721,Victoria Abril
0001929,Josiane Balasko
0149260,Alain Chabat
0390458,Ticky Holgado
0383153,Catherine Hiegel
0001084,Ice Cube
0000505,Nia Long
0001474,Tom Lister Jr.
0936762,John Witherspoon
0000123,George Clooney
0000233,Quentin Tarantino
0000172,Harvey Keitel
0000496,Juliette Lewis
0514918,Ernest Liu
0000287,William Baldwin
0000340,Cindy Crawford
0000925,Steven Berkoff
0001520,Christopher McDonald
0762153,Miguel Sandoval
0357979,Josh Hamilton
0332489,Samuel Gould
0446070,Catherine Kellner
0062263,Jonathan Baumbach
0499856,John Lehr
0000901,Jean-Paul Belmondo
0099378,Michel Boujenah
0553402,Alessandra Martines
0500992,Salomé Lelouch
0320760,Annie Girardot
0000225,Christian Slater
0000524,Mary Stuart Masterson
0781899,Pamela Adlon
0000982,Josh Brolin
0850211,Brian Tarantina
0001548,Rick Moranis
0000792,Tom Arnold
0680541,Julianne Phillips
0001406,Carol Kane
0001787,Jeffrey Tambor
0000693,Peter Weller
0001163,Roy Dupuis
0748075,Jennifer Rubin
0490774,Andy Lauer
0694052,Charles Edwin Powell
0630113,Nico
0042106,Tina Aumont
0099554,Christian Päffgen
0099555,Edith Boulogne
0115010,Jackson Browne
0000197,Jack Nicholson
0001556,David Morse
0001378,Anjelica Huston
0000705,Robin Wright
0001453,Piper Laurie
0000193,Demi Moore
0000285,Alec Baldwin
0330687,Joseph Gordon-Levitt
0001254,James Gandolfini
0649746,Fereshteh Sadre Orafaiy
0096941,Anna Borkowska
0595869,Aida Mohammadkhani
0435760,Mohsen Kafili
0049084,Mohammed Bakhtiar
0000412,Andy Garcia
0000502,Christopher Lloyd
0001235,William Forsythe
0638056,Bill Nunn
0001852,Treat Williams
0002168,Willeke van Ammelrooy
0234579,Els Dottermans
0342869,Dora van der Groen
0887675,Veerle van Overloop
0904105,Esther Vriesendorp
0293272,Al Freeman Jr.
0711118,Phylicia Rashad
0502442,Leon
0446780,Paula Kelly
0724757,Salli Richardson-Whitfield
0753314,Mark Rylance
0000218,Kristin Scott Thomas
0000475,Patsy Kensit
0447305,Jeremy Kemp
0378112,Douglas Henshall
0000313,Jeff Bridges
0328751,Caroline Goodall
0001698,John Savage
0937930,Scott Wolf
0005438,Jeremy Sisto
0004517,Jason Alexander
0001159,Faye Dunaway
0005156,Eric Lloyd
0000391,Rupert Everett
0755228,Graham Sack
0000394,Chris Farley
0005450,David Spade
0001513,Tim Matheson
0002056,Christine Ebersole
0000997,Gary Busey
0000136,Johnny Depp
0153733,Courtney Chase
0000686,Christopher Walken
0005173,Roma Maffia
0000210,Julia Roberts
0000518,John Malkovich
0170552,George Cole
0002091,Michael Gambon
0821220,Kathy Staff
0000552,Eddie Murphy
0005300,Allen Payne
0362429,Kadeem Hardison
0001187,Noah Emmerich
0001272,Annabeth Gish
0000452,Lauren Holly
0000459,Timothy Hutton
0000526,Samantha Mathis
0005148,Delroy Lindo
0001972,Richard Briers
0153381,Hetta Charnley
0001058,Joan Collins
0268297,Nicholas Farrell
0352797,Mark Hadfield
0001993,Vincent Cassel
0468003,Hubert Koundé
0846548,Saïd Taghmaoui
0315760,Abdel Ahmed Ghili
0813217,Solo
0112374,Nick Broomfield
3189486,Nina Xining Zuo
0018208,Madam Alex
0001959,Corinne Bohrer
0104204,Mike Brambles
0000131,John Cusack
0000732,Danny Aiello
0001445,Martin Landau
0005561,Luke Wilson
0005562,Owen Wilson
0235684,Ned Dowd
0288800,Shea Fowler
0588438,Haley Miller
0001122,Ellen DeGeneres
0000597,Bill Pullman
0000349,Joan Cusack
0001777,Dean Stockwell
0687506,Joan Plowright
0000501,Ray Liotta
0000400,Linda Fiorentino
0001075,Peter Coyote
0001601,David Paymer
0001191,Adam Sandler
0100866,Julie Bowen
0062844,Frances Bay
0001835,Carl Weathers
0000142,Clint Eastwood
0000658,Meryl Streep
0179960,Annie Corley
0805789,Victor Slezak
0371579,Jim Haynie
0775056,Maria Schrader
0762997,Pierre Sanoussi-Bliss
0901908,Michael von Au
0873142,Elisabeth Trissenaar
0622581,Ingo Naujoks
0000347,Tim Curry
0766837,Jennifer Saunders
0084107,Kevin Bishop
0324397,Dave Goelz
0877258,Christy Turlington
0015823,Azzedine Alaïa
0004714,Giorgio Armani
1193699,Nadja Auermann
0000928,Sandra Bernhard
0732703,James Robinson
0492566,Sean Lawlor
0625729,Sandy Nelson
0181920,James Cosmo
0569336,Sean McGinley
0007958,Diahnne Abbott
0012524,Frank Adu
0034519,Victor Argo
0034082,Gino Ardito
0043039,Garth Avery
0000329,Jackie Chan
0611315,Anita Mui
0948123,Françoise Yip
0876603,Bill Tung
0015224,Marc Akerstream
